Sample Characteristics
Name; WBCH
SID
Position; 85.10
Sample type;  Control
Test information
Test name; AA ser
Channel; 985
Test release; 0.01
Run date; 08/05/2020
Step A
Delta Absorbance; -0.34399
First reading; 8
Last reading; 50
Calculation mode; 1
r2
Result information
Rate; 0.22146
Result value; 0.29
Result unit; g/L
Flags list
Quality flags list
Cycle; (OD1 - OD2) * VF; OD1; OD2; VF
T0; 1.395656; 1.679887; 0.02836039; 0.84507
T1; 1.441721; 1.706817; 0.02874817; 0.859155
T2; 1.437677; 1.701941; 0.02857953; 0.859155
T3; 1.439017; 1.70356; 0.02863854; 0.859155
T4; 1.435147; 1.699123; 0.028706; 0.859155
T5; 1.435607; 1.699524; 0.0285711; 0.859155
T6; 1.431133; 1.694332; 0.02858796; 0.859155
T7; 1.434773; 1.698721; 0.02873974; 0.859155
T8; 1.390861; 1.420961; 0.03009969; 1
T9; 1.318186; 1.347922; 0.02973606; 1
T10; 1.260097; 1.289461; 0.02936428; 1
T11; 1.215531; 1.245081; 0.02955013; 1
T12; 1.183333; 1.213128; 0.02979523; 1
T13; 1.159664; 1.189282; 0.02961773; 1
T14; 1.140531; 1.170106; 0.02957548; 1
T15; 1.126878; 1.156318; 0.0294403; 1
T16; 1.113808; 1.1434; 0.02959238; 1
T17; 1.104782; 1.134341; 0.02955858; 1
T18; 1.097107; 1.126539; 0.02943185; 1
T19; 1.09052; 1.120037; 0.02951633; 1
T20; 1.084227; 1.113735; 0.02950788; 1
T21; 1.080935; 1.110307; 0.02937273; 1
T22; 1.076732; 1.106189; 0.02945719; 1
T23; 1.073516; 1.103125; 0.02960928; 1
T24; 1.070879; 1.100286; 0.02940651; 1
T25; 1.06882; 1.098268; 0.02944875; 1
T26; 1.066836; 1.096361; 0.02952478; 1
T27; 1.064239; 1.093764; 0.02952478; 1
T28; 1.063212; 1.09267; 0.02945719; 1
T29; 1.060547; 1.089996; 0.02944875; 1
T30; 1.060144; 1.089601; 0.02945719; 1
T31; 1.05888; 1.088321; 0.0294403; 1
T32; 1.058106; 1.087436; 0.0293305; 1
T33; 1.055962; 1.085478; 0.02951633; 1
T34; 1.054693; 1.08421; 0.02951633; 1
T35; 1.054359; 1.083723; 0.02936428; 1
T36; 1.054656; 1.084307; 0.02965154; 1
T37; 1.053872; 1.083431; 0.02955858; 1
T38; 1.052568; 1.081975; 0.02940651; 1
T39; 1.05299; 1.082363; 0.02937273; 1
T40; 1.05155; 1.081007; 0.02945719; 1
T41; 1.050324; 1.079655; 0.0293305; 1
T42; 1.050761; 1.080041; 0.02927983; 1
T43; 1.049675; 1.078981; 0.02930516; 1
T44; 1.049909; 1.079366; 0.02945719; 1
T45; 1.048511; 1.078019; 0.02950788; 1
T46; 1.048451; 1.077731; 0.02927983; 1
T47; 1.04747; 1.076868; 0.02939807; 1
T48; 1.046117; 1.075625; 0.02950788; 1
T49; 1.044623; 1.074004; 0.02938117; 1
T50; 1.046868; 1.076198; 0.0293305; 1

Sample Characteristics
Name; WBCS
SID
Position; 85.08
Sample type;  Control
Test information
Test name; AA ser
Channel; 985
Test release; 0.01
Run date; 08/05/2020
Step A
Delta Absorbance; -0.59307
First reading; 8
Last reading; 50
Calculation mode; 1
r2
Result information
Rate; 0.47053
Result value; 0.63
Result unit; g/L
Flags list
Quality flags list
Cycle; (OD1 - OD2) * VF; OD1; OD2; VF
T0; 1.385851; 1.660732; 0.02080899; 0.84507
T1; 1.501582; 1.858289; 0.110545; 0.859155
T2; 1.497228; 1.861194; 0.1185189; 0.859155
T3; 1.492833; 1.85771; 0.1201501; 0.859155
T4; 1.494457; 1.85771; 0.1182597; 0.859155
T5; 1.493031; 1.858868; 0.1210775; 0.859155
T6; 1.488601; 1.853681; 0.1210462; 0.859155
T7; 1.477331; 1.840699; 0.1211819; 0.859155
T8; 1.444811; 1.520364; 0.07555272; 1
T9; 1.353609; 1.427998; 0.07438947; 1
T10; 1.2719; 1.348101; 0.07620136; 1
T11; 1.205451; 1.280337; 0.07488629; 1
T12; 1.154307; 1.229287; 0.0749801; 1
T13; 1.112671; 1.186191; 0.07351908; 1
T14; 1.080343; 1.155399; 0.07505514; 1
T15; 1.051803; 1.127506; 0.07570305; 1
T16; 1.028914; 1.103838; 0.07492381; 1
T17; 1.008909; 1.083917; 0.07500824; 1
T18; 0.9909705; 1.064312; 0.07334147; 1
T19; 0.9759797; 1.050753; 0.07477375; 1
T20; 0.9631571; 1.038306; 0.07514898; 1
T21; 0.9520589; 1.026973; 0.07491443; 1
T22; 0.9411291; 1.015097; 0.0739681; 1
T23; 0.9329966; 1.00646; 0.07346299; 1
T24; 0.9251869; 0.9995108; 0.0743239; 1
T25; 0.9178811; 0.9929081; 0.075027; 1
T26; 0.9118968; 0.9862489; 0.074352; 1
T27; 0.9059577; 0.9797667; 0.07380902; 1
T28; 0.901618; 0.9750436; 0.07342559; 1
T29; 0.8958414; 0.9696972; 0.0738558; 1
T30; 0.8914657; 0.9672345; 0.07576883; 1
T31; 0.8879079; 0.9616888; 0.07378095; 1
T32; 0.8846568; 0.9589058; 0.07424897; 1
T33; 0.8818201; 0.9546198; 0.07279975; 1
T34; 0.8793339; 0.954042; 0.07470812; 1
T35; 0.8754036; 0.950018; 0.07461438; 1
T36; 0.873387; 0.9476641; 0.07427707; 1
T37; 0.8708162; 0.9446159; 0.07379966; 1
T38; 0.869426; 0.942291; 0.07286509; 1
T39; 0.8671622; 0.9414487; 0.07428644; 1
T40; 0.8655176; 0.9401882; 0.07467062; 1
T41; 0.8637195; 0.9386526; 0.07493319; 1
T42; 0.862159; 0.9355285; 0.07336951; 1
T43; 0.8607462; 0.9346301; 0.07388388; 1
T44; 0.8588017; 0.932564; 0.07376224; 1
T45; 0.8579276; 0.9329076; 0.0749801; 1
T46; 0.8568757; 0.9307128; 0.07383709; 1
T47; 0.8553358; 0.9292103; 0.07387452; 1
T48; 0.853966; 0.9271019; 0.07313591; 1
T49; 0.8526663; 0.9265595; 0.07389323; 1
T50; 0.8517421; 0.9269662; 0.07522407; 1

Sample Characteristics
Name; WBCH
SID
Position; 85.10
Sample type;  Control
Test information
Test name; RS ser
Channel; 987
Test release; 0.01
Run date; 08/05/2020
Step A
Delta Absorbance; 0.66973
First reading; 1
Last reading; 24
Calculation mode; 1
r2
Result information
Rate; 0.66973
Result value; 4.58
Result unit; g/L
Flags list
Quality flags list
Cycle; (OD1 - OD2) * VF; OD1; OD2; VF
T0; 0.08943339; 0.09170713; 0; 0.975207
T1; 0.1249521; 0.1249521; 0; 1
T2; 0.2351771; 0.2351771; 0; 1
T3; 0.3347675; 0.3347675; 0; 1
T4; 0.4065021; 0.4065021; 0; 1
T5; 0.4644443; 0.4644443; 0; 1
T6; 0.5116748; 0.5116748; 0; 1
T7; 0.5518492; 0.5518492; 0; 1
T8; 0.5862302; 0.5862302; 0; 1
T9; 0.6145231; 0.6145231; 0; 1
T10; 0.641261; 0.641261; 0; 1
T11; 0.6632749; 0.6632749; 0; 1
T12; 0.6844808; 0.6844808; 0; 1
T13; 0.7010534; 0.7010534; 0; 1
T14; 0.7172361; 0.7172361; 0; 1
T15; 0.7295877; 0.7295877; 0; 1
T16; 0.7415479; 0.7415479; 0; 1
T17; 0.7524378; 0.7524378; 0; 1
T18; 0.7607767; 0.7607767; 0; 1
T19; 0.7685246; 0.7685246; 0; 1
T20; 0.7747381; 0.7747381; 0; 1
T21; 0.7810902; 0.7810902; 0; 1
T22; 0.7862593; 0.7862593; 0; 1
T23; 0.7890152; 0.7890152; 0; 1
T24; 0.7946799; 0.7946799; 0; 1

Sample Characteristics
Name; WBCS
SID
Position; 85.08
Sample type;  Control
Test information
Test name; RS ser
Channel; 987
Test release; 0.01
Run date; 08/05/2020
Step A
Delta Absorbance; 0.75708
First reading; 1
Last reading; 24
Calculation mode; 1
r2
Result information
Rate; 0.75708
Result value; 5.17
Result unit; g/L
Flags list
Quality flags list
Cycle; (OD1 - OD2) * VF; OD1; OD2; VF
T0; 0.08650513; 0.08870441; 0; 0.975207
T1; 0.1871157; 0.1871157; 0; 1
T2; 0.3206709; 0.3206709; 0; 1
T3; 0.4455033; 0.4455033; 0; 1
T4; 0.5334575; 0.5334575; 0; 1
T5; 0.60093; 0.60093; 0; 1
T6; 0.6525069; 0.6525069; 0; 1
T7; 0.6966012; 0.6966012; 0; 1
T8; 0.7343063; 0.7343063; 0; 1
T9; 0.7642135; 0.7642135; 0; 1
T10; 0.7919874; 0.7919874; 0; 1
T11; 0.8132786; 0.8132786; 0; 1
T12; 0.8341314; 0.8341314; 0; 1
T13; 0.8516228; 0.8516228; 0; 1
T14; 0.8680681; 0.8680681; 0; 1
T15; 0.8799558; 0.8799558; 0; 1
T16; 0.8906158; 0.8906158; 0; 1
T17; 0.9005216; 0.9005216; 0; 1
T18; 0.910006; 0.910006; 0; 1
T19; 0.9181706; 0.9181706; 0; 1
T20; 0.9243965; 0.9243965; 0; 1
T21; 0.9288015; 0.9288015; 0; 1
T22; 0.9324266; 0.9324266; 0; 1
T23; 0.9375392; 0.9375392; 0; 1
T24; 0.9441923; 0.9441923; 0; 1

Sample Characteristics
Name; WBCH
SID
Position; 85.10
Sample type;  Control
Test information
Test name; Tmal ser
Channel; 801
Test release; 0.01
Run date; 08/05/2020
Step A
Delta Absorbance; 0.43348
First reading; 5
Last reading; 30
Calculation mode; 1
r2
Result information
Rate; 0.43348
Result value; 2.19
Result unit; g/L
Flags list
Quality flags list
Cycle; (OD1 - OD2) * VF; OD1; OD2; VF
T0; 0.01142303; 0.0177057; 0; 0.645161
T1; 0.03625088; 0.0535132; 0; 0.677419
T2; 0.03657696; 0.05399456; 0; 0.677419
T3; 0.1030081; 0.1228174; 0; 0.83871
T4; 0.1027492; 0.1225087; 0; 0.83871
T5; 0.1010221; 0.1204494; 0; 0.83871
T6; 0.1005783; 0.1199202; 0; 0.83871
T7; 0.2257907; 0.2257907; 0; 1
T8; 0.3075222; 0.3075222; 0; 1
T9; 0.357412; 0.357412; 0; 1
T10; 0.393104; 0.393104; 0; 1
T11; 0.4202211; 0.4202211; 0; 1
T12; 0.4422919; 0.4422919; 0; 1
T13; 0.4590995; 0.4590995; 0; 1
T14; 0.4727775; 0.4727775; 0; 1
T15; 0.484788; 0.484788; 0; 1
T16; 0.4929753; 0.4929753; 0; 1
T17; 0.5006585; 0.5006585; 0; 1
T18; 0.5071108; 0.5071108; 0; 1
T19; 0.5121703; 0.5121703; 0; 1
T20; 0.5160501; 0.5160501; 0; 1
T21; 0.5196726; 0.5196726; 0; 1
T22; 0.5224162; 0.5224162; 0; 1
T23; 0.5254194; 0.5254194; 0; 1
T24; 0.5273609; 0.5273609; 0; 1
T25; 0.5287686; 0.5287686; 0; 1
T26; 0.5301808; 0.5301808; 0; 1
T27; 0.5315158; 0.5315158; 0; 1
T28; 0.5327181; 0.5327181; 0; 1
T29; 0.5338688; 0.5338688; 0; 1
T30; 0.5345003; 0.5345003; 0; 1

Sample Characteristics
Name; WBCS
SID
Position; 85.08
Sample type;  Control
Test information
Test name; Tmal ser
Channel; 801
Test release; 0.01
Run date; 08/05/2020
Step A
Delta Absorbance; 0.03675
First reading; 5
Last reading; 30
Calculation mode; 1
r2
Result information
Rate; 0.03675
Result value; 0.11
Result unit; g/L
Flags list
Quality flags list
